country,iso3,year,sex,age_group,type,expected_mean,acm_mean,excess_mean
Afghanistan,AFG,2020,Female,0-24,predicted,49083.6439335266,49103.1431533225,0
Afghanistan,AFG,2020,Female,25-34,predicted,6452.9670394984,6691.24721854869,236.607817172177
Afghanistan,AFG,2020,Female,35-44,predicted,6117.87310635972,6977.363938828,860.30071392836
Afghanistan,AFG,2020,Female,45-54,predicted,7711.68953142234,9330.21731710218,1621.57180617288
Afghanistan,AFG,2020,Female,55-64,predicted,10061.5441565976,12457.9850857855,2401.48897102767
Afghanistan,AFG,2020,Female,65-74,predicted,13955.3421144752,17144.299885298,3195.44937263931
Afghanistan,AFG,2020,Female,75-84,predicted,12751.7113222847,14639.0412442922,1889.38041140226
Afghanistan,AFG,2020,Female,>85,predicted,3694.55430771967,4614.09830510881,921.547262333789
Afghanistan,AFG,2020,Male,0-24,predicted,67685.668415993,67712.5575713145,0
Afghanistan,AFG,2020,Male,25-34,predicted,15363.9268330534,15618.5418317011,249.450996723866
Afghanistan,AFG,2020,Male,35-44,predicted,10604.8438492804,11884.726237191,1280.49239283601
Afghanistan,AFG,2020,Male,45-54,predicted,11163.8497511883,13653.8614059119,2494.97389741055
Afghanistan,AFG,2020,Male,55-64,predicted,12851.5293643308,16681.9352735524,3839.76280623787
Afghanistan,AFG,2020,Male,65-74,predicted,14370.2321875638,18771.8673062429,4412.54606046539
Afghanistan,AFG,2020,Male,75-84,predicted,11140.2220066677,13762.1682871352,2627.41675201605
Afghanistan,AFG,2020,Male,>85,predicted,2540.92704543385,3461.41993866518,922.959774238479
Afghanistan,AFG,2021,Female,0-24,predicted,46857.2342239702,46868.5917267094,0
Afghanistan,AFG,2021,Female,25-34,predicted,6413.06625846432,7446.91632876693,1033.95023594511
Afghanistan,AFG,2021,Female,35-44,predicted,6045.34426583329,7810.97154900019,1766.98963932045
Afghanistan,AFG,2021,Female,45-54,predicted,7706.03071088888,10622.1672150257,2918.93976427971
Afghanistan,AFG,2021,Female,55-64,predicted,10084.0934381224,13517.4083904469,3436.36983234198
Afghanistan,AFG,2021,Female,65-74,predicted,13848.717353618,17488.4505853317,3642.20501402661
Afghanistan,AFG,2021,Female,75-84,predicted,12842.9278992884,15692.0434806075,2850.56431421626
Afghanistan,AFG,2021,Female,>85,predicted,3672.61253399022,4973.22616153365,1301.80668108991
Afghanistan,AFG,2021,Male,0-24,predicted,67263.4834752657,67279.7871519652,0
Afghanistan,AFG,2021,Male,25-34,predicted,17347.8231940624,20322.5371795977,2975.27036143321
Afghanistan,AFG,2021,Male,35-44,predicted,11242.8667199933,14548.1526129488,3307.85424392111
Afghanistan,AFG,2021,Male,45-54,predicted,11561.2708337751,15757.4587852329,4200.10697020298
Afghanistan,AFG,2021,Male,55-64,predicted,13109.073186465,17221.042361138,4115.37743891848
Afghanistan,AFG,2021,Male,65-74,predicted,14278.6425329337,18195.2750084906,3919.44370678839
Afghanistan,AFG,2021,Male,75-84,predicted,11228.9766386251,13764.039522127,2536.40006713179
Afghanistan,AFG,2021,Male,>85,predicted,2526.11577350075,3299.61994107789,774.130691587259
Angola,AGO,2020,Female,0-24,predicted,49004.6457038691,49015.3775725711,0
Angola,AGO,2020,Female,25-34,predicted,5921.62186602542,5135.34118158623,-866.173380969949
Angola,AGO,2020,Female,35-44,predicted,6547.70752642347,6229.06178533357,-352.021850090856
Angola,AGO,2020,Female,45-54,predicted,7561.42015206841,7636.03137953434,80.235834830627
Angola,AGO,2020,Female,55-64,predicted,9563.33987409293,9884.39995562664,350.796755985161
Angola,AGO,2020,Female,65-74,predicted,11619.4244627667,11923.6233128107,331.757655467571
Angola,AGO,2020,Female,75-84,predicted,11189.9493831369,10718.0311393655,-521.708192551142
Angola,AGO,2020,Female,>85,predicted,3475.46528064134,3717.49922853023,265.350525872317
Angola,AGO,2020,Male,0-24,predicted,60431.8803116264,60445.1147100309,0
Angola,AGO,2020,Male,25-34,predicted,8687.78964036272,7398.10109917637,-1420.48479401973
Angola,AGO,2020,Male,35-44,predicted,9481.10663075127,8875.4676988929,-668.361888226208
Angola,AGO,2020,Male,45-54,predicted,10405.3545343995,10626.6689197514,240.894190302886
Angola,AGO,2020,Male,55-64,predicted,12561.6190489761,13606.3944879504,1146.0127634151
Angola,AGO,2020,Male,65-74,predicted,11851.9186311548,12930.8925127412,1183.79495399803
Angola,AGO,2020,Male,75-84,predicted,8450.27161227107,8704.64370138816,277.721755043351
Angola,AGO,2020,Male,>85,predicted,2446.58917709373,2906.62431471024,505.354835283001
Angola,AGO,2021,Female,0-24,predicted,47670.4421185841,47672.2362245201,0
Angola,AGO,2021,Female,25-34,predicted,5816.67513668694,5725.32187542741,-91.6480290821942
Angola,AGO,2021,Female,35-44,predicted,6580.85340993148,7185.97933150577,605.379297558682
Angola,AGO,2021,Female,45-54,predicted,7719.85968573882,8997.09325677412,1278.00078412356
Angola,AGO,2021,Female,55-64,predicted,9834.91037529847,11149.1040293432,1314.91181583631
Angola,AGO,2021,Female,65-74,predicted,11908.5929222546,12721.8486112215,813.48079027312
Angola,AGO,2021,Female,75-84,predicted,11436.5363268799,11824.1526985915,387.506675901332
Angola,AGO,2021,Female,>85,predicted,3608.8123110794,4200.49306867917,592.034943513811
Angola,AGO,2021,Male,0-24,predicted,59223.3119448113,59225.5408499942,0
Angola,AGO,2021,Male,25-34,predicted,8830.02863303381,8783.19476274534,-47.2052638361269
Angola,AGO,2021,Male,35-44,predicted,9802.87057149703,10737.561767224,935.096203814296
Angola,AGO,2021,Male,45-54,predicted,10651.8914229885,12271.4195718626,1620.46846119063
Angola,AGO,2021,Male,55-64,predicted,13067.5002983884,14504.845012097,1438.04312632112
Angola,AGO,2021,Male,65-74,predicted,12435.3099926286,13399.5901035135,964.610473407102
Angola,AGO,2021,Male,75-84,predicted,8552.47363080785,8860.89818405241,308.357892315099
Angola,AGO,2021,Male,>85,predicted,2505.01751708644,2828.2526524481,323.408530967709
Albania,ALB,2020,Female,0-24,reported,220.190377945759,183.284429213965,-36.9059487303761
Albania,ALB,2020,Female,25-34,reported,70.7644044790041,71.9342114656957,1.16980698695934
Albania,ALB,2020,Female,35-44,reported,116.167615158286,132.04362104662,15.8760058885714
Albania,ALB,2020,Female,45-54,reported,319.448666571307,352.773256229028,33.3245896585247
Albania,ALB,2020,Female,55-64,reported,765.614369723509,947.954951095881,182.34058137282
Albania,ALB,2020,Female,65-74,reported,1420.23214123583,1908.7201042336,488.487962996432
Albania,ALB,2020,Female,75-84,reported,3738.01086176741,4546.63632469479,808.625462930746
Albania,ALB,2020,Female,>85,reported,3356.17645450587,3956.38163061327,600.205176112234
Albania,ALB,2020,Male,0-24,reported,291.598235678401,274.926643820947,-16.6715918560411
Albania,ALB,2020,Male,25-34,reported,163.600120174376,148.795423716713,-14.8046964567916
Albania,ALB,2020,Male,35-44,reported,219.644639325535,300.54704790462,80.9024085788011
Albania,ALB,2020,Male,45-54,reported,546.053909166681,698.648711358606,152.594802191919
Albania,ALB,2020,Male,55-64,reported,1536.71229776107,2107.77093596059,571.058638197454
Albania,ALB,2020,Male,65-74,reported,2501.51840958256,3396.67434140073,895.155931815306
Albania,ALB,2020,Male,75-84,reported,4220.00222547567,5598.05829228243,1378.05606680385
Albania,ALB,2020,Male,>85,reported,2103.56666541557,2979.85007496252,876.283409542762
Albania,ALB,2021,Female,0-24,reported,226.429178904917,184.44029239191,-42.0513865136601
Albania,ALB,2021,Female,25-34,reported,66.5785584738548,83.1986101550463,16.5575516811366
Albania,ALB,2021,Female,35-44,reported,116.054261605371,143.342183761104,27.225422155629
Albania,ALB,2021,Female,45-54,reported,303.887693672134,439.04808732422,135.097893652118
Albania,ALB,2021,Female,55-64,reported,778.769639611288,1100.62739699086,321.795257379532
Albania,ALB,2021,Female,65-74,reported,1413.05772464289,2360.63526403777,947.515039396533
Albania,ALB,2021,Female,75-84,reported,3724.64837241171,4899.69646310683,1174.98559069323
Albania,ALB,2021,Female,>85,reported,3349.0978769438,4445.61248238109,1096.45210543578
Albania,ALB,2021,Male,0-24,reported,294.565311346751,277.662831481299,-16.9649798661231
Albania,ALB,2021,Male,25-34,reported,166.164304435133,119.284754318681,-46.9420501170082
Albania,ALB,2021,Male,35-44,reported,221.075997424254,312.746582751499,91.6080853272365
Albania,ALB,2021,Male,45-54,reported,525.581264384256,819.957386829252,294.313622445339
Albania,ALB,2021,Male,55-64,reported,1521.23384765946,2301.49408332514,780.197735666323
Albania,ALB,2021,Male,65-74,reported,2542.06028623134,3964.46389353263,1422.34110730294
Albania,ALB,2021,Male,75-84,reported,4142.95492500722,5868.00799816435,1724.990573157
Albania,ALB,2021,Male,>85,reported,2100.69971889252,3259.78168944832,1159.01947055709
Andorra,AND,2020,Female,0-24,reported,2.19977870021881,0.00110165982942816,-2.19867704038484
Andorra,AND,2020,Female,25-34,reported,0.0264591302920945,0.00036721994314272,-0.0260919103488977
Andorra,AND,2020,Female,35-44,reported,0.0343000639290653,7.34439886285446,7.31009879891365
Andorra,AND,2020,Female,45-54,reported,12.9281562003687,9.18049857856807,-3.74765762178873
Andorra,AND,2020,Female,55-64,reported,15.9109404540118,36.7219943142723,20.8110538602343
